Actor,Film,Year,Genre,BoxOffice,IMDb
Shah Rukh Khan,Tiger Zinda Hai,2023,Action,1050,7.2
Salman Khan,Dangal,2016,Action,565,6
Aamir Khan,Dangal,2016,Biography,2024,8.4
Ranbir Kapoor,Brahmastra,2022,Fantasy,431,5.6
Ranveer Singh,Padmaavat,2018,Thriller,111,8.3
Ayushmann Khurrana,Andhadhun,2018,Horror Comedy,180,7.5
Rajkummar Rao,Stree,2018,Horror Comedy,180,7.5
Hrithik Roshan,War,2019,Action,475,6.5
Akshay Kumar,Good Newwz,2019,Comedy,318,7
Kartik Aaryan,Bhool Bhulaiyaa,2022,Horror Comedy,266,5.9
Varun Dhawan,Badrinath Ki Dul,2017,Romantic Comedy,201,6.1
Vicky Kaushal,Uri:The Surgical Strike,2019,Action,342,8.2
